customer_id,true_persona,cluster,cluster_label,channel,card_product,total_spend,travel_pct,dining_pct,grocery_pct,online_shopping_pct,gas_pct,entertainment_pct,utilities_bills_pct
ACQ000001,Dining Enthusiast,0,Cluster_0_dining_dominant,TV,Amex Cash Magnet,1698.06,0.07957315995901205,0.34094790525658697,0.12356453835553514,0.16563018974594537,0.07496201547648494,0.11577329422988587,0.09954889697654971
ACQ000002,Balanced Spender,1,Cluster_1_entertainment_dominant,TV,Amex Cash Magnet,984.52,0.14323731361475645,0.1439584772274814,0.1319119977247796,0.14273960914963638,0.13651322471864463,0.15425791248527201,0.14738146507942956
ACQ000003,Everyday Essentials,2,Cluster_2_grocery_dominant,TV,Amex Cash Magnet,1665.73,0.05258355195619938,0.1024595822852443,0.2936490307552845,0.09759084605548318,0.20975788393076908,0.04936574354787391,0.19459336146914566
ACQ000004,Everyday Essentials,2,Cluster_2_grocery_dominant,TV,Amex Cash Magnet,1311.42,0.04938921169419407,0.1021945677204862,0.30926019124308,0.09637644690488173,0.1981744978725351,0.0513336688475088,0.19327141571731404
ACQ000005,Everyday Essentials,2,Cluster_2_grocery_dominant,TV,Amex Cash Magnet,1564.4,0.052895678854512906,0.10171950907696241,0.2876310406545641,0.10411020199437483,0.19892610585527995,0.054436205574021984,0.2002812579902838
ACQ000006,Frequent Traveler,4,Cluster_4_travel_dominant,In-App,Amex Cash Magnet,868.7,0.3568435593415448,0.158351559802003,0.07805916887302866,0.11673765396569585,0.046552319557960166,0.09541844134914239,0.14803729711062505
ACQ000007,Balanced Spender,1,Cluster_1_entertainment_dominant,In-App,Amex Cash Magnet,1143.8500000000001,0.1475455697862482,0.14239629322026487,0.12872317174454692,0.142719762206583,0.1294400489574682,0.1567862919089041,0.1523888621759846
ACQ000008,Online Shopper,3,Cluster_3_online_shopping_dominant,In-App,Amex Cash Magnet,909.1700000000001,0.052740411584192175,0.09660459540020017,0.1061077686241297,0.44730908410968245,0.0494956938746329,0.1532826644081965,0.09445978199896608
ACQ000009,Balanced Spender,1,Cluster_1_entertainment_dominant,In-App,Amex Cash Magnet,1628.31,0.13767648666408733,0.13967242109917646,0.14315455902131657,0.1329722227340003,0.13374603116114253,0.15676376120026284,0.156014518120014
ACQ000010,Frequent Traveler,4,Cluster_4_travel_dominant,In-App,Amex Cash Magnet,1273.59,0.3295252004177169,0.1584732920327578,0.0863464694289371,0.11903359793968232,0.05392630281330727,0.1014847792460682,0.1512103581215305
ACQ000011,Dining Enthusiast,0,Cluster_0_dining_dominant,In-App,Amex Cash Magnet,1475.53,0.07742980488366892,0.38512263390103896,0.11750354110048593,0.1291603694943512,0.07633867152819665,0.11866922393987245,0.09577575515238591
ACQ000012,Dining Enthusiast,0,Cluster_0_dining_dominant,In-App,Amex Cash Magnet,1062.93,0.0885288777247796,0.3429200417713302,0.120544156247354,0.15479852859548604,0.08498207784143828,0.11470181479495356,0.09352450302465824
ACQ000013,Online Shopper,3,Cluster_3_online_shopping_dominant,In-App,Amex Cash Magnet,1361.18,0.046613967293083945,0.10081693824475821,0.0966073553828296,0.45472310789168224,0.04715761324732952,0.15447626324218694,0.09960475469812957
